area,gender,age,State,Area (sq km),Eligible participants,Participation rate (%),Total participants,Total Paticipants
Adelaide,Female,18-19 years,SA,76,1341,83.5,1120,1120
Adelaide,Female,20-24 years,SA,76,4620,81.2,3750,3750
Adelaide,Female,25-29 years,SA,76,4897,81.8,4004,4004
Adelaide,Female,30-34 years,SA,76,4784,79.8,3820,3820
Adelaide,Female,35-39 years,SA,76,4319,79,3411,3411
Adelaide,Female,40-44 years,SA,76,4310,80.6,3472,3472
Adelaide,Female,45-49 years,SA,76,4579,81.4,3728,3728
Adelaide,Female,50-54 years,SA,76,4475,84.7,3791,3791
Adelaide,Female,55-59 years,SA,76,4622,87.3,4033,4033
Adelaide,Female,60-64 years,SA,76,4342,89.3,3879,3879
Adelaide,Female,65-69 years,SA,76,3970,90.7,3602,3602
Adelaide,Female,70-74 years,SA,76,3009,90.3,2716,2716
Adelaide,Female,75-79 years,SA,76,2156,88.5,1908,1908
Adelaide,Female,80-84 years,SA,76,1673,85.1,1423,1423
Adelaide,Female,85 years and over,SA,76,2390,76.9,1838,1838
Adelaide,Female,Total for Gender,SA,76,55487,83.8,46495,46495
Adelaide,Male,18-19 years,SA,76,1211,78.4,949,949
Adelaide,Male,20-24 years,SA,76,4467,72.2,3224,3224
Adelaide,Male,25-29 years,SA,76,5290,73.2,3870,3870
Adelaide,Male,30-34 years,SA,76,5114,73.1,3737,3737
Adelaide,Male,35-39 years,SA,76,4593,72.5,3329,3329
Adelaide,Male,40-44 years,SA,76,4433,74.4,3296,3296
Adelaide,Male,45-49 years,SA,76,4593,76.9,3534,3534
Adelaide,Male,50-54 years,SA,76,4359,78.6,3428,3428
Adelaide,Male,55-59 years,SA,76,4443,83,3687,3687
Adelaide,Male,60-64 years,SA,76,4073,86.8,3535,3535
Adelaide,Male,65-69 years,SA,76,3594,88.5,3181,3181
Adelaide,Male,70-74 years,SA,76,2716,89.8,2439,2439
Adelaide,Male,75-79 years,SA,76,1777,89.1,1583,1583
Adelaide,Male,80-84 years,SA,76,1235,86.6,1070,1070
Adelaide,Male,85 years and over,SA,76,1323,80.5,1065,1065
Adelaide,Male,Total for Gender,SA,76,53221,78.8,41927,41927
Aston,Female,18-19 years,Vic.,99,1395,86.3,1204,1204
Aston,Female,20-24 years,Vic.,99,4396,81.7,3590,3590
Aston,Female,25-29 years,Vic.,99,3921,80.5,3156,3156
Aston,Female,30-34 years,Vic.,99,3593,80,2874,2874
Aston,Female,35-39 years,Vic.,99,3809,79.8,3038,3038
Aston,Female,40-44 years,Vic.,99,3910,80.6,3152,3152
Aston,Female,45-49 years,Vic.,99,4513,83.5,3769,3769
Aston,Female,50-54 years,Vic.,99,4447,85.6,3807,3807
Aston,Female,55-59 years,Vic.,99,4523,86,3888,3888
Aston,Female,60-64 years,Vic.,99,4016,88.1,3540,3540
Aston,Female,65-69 years,Vic.,99,3454,89.1,3077,3077
Aston,Female,70-74 years,Vic.,99,2567,88.4,2269,2269
Aston,Female,75-79 years,Vic.,99,1919,87.5,1679,1679
Aston,Female,80-84 years,Vic.,99,1279,84.4,1080,1080
Aston,Female,85 years and over,Vic.,99,1328,77,1022,1022
Aston,Female,Total for Gender,Vic.,99,49070,83.8,41145,41145
Aston,Male,18-19 years,Vic.,99,1362,78.7,1072,1072
Aston,Male,20-24 years,Vic.,99,4405,73.2,3225,3225
Aston,Male,25-29 years,Vic.,99,3975,72.1,2864,2864
Aston,Male,30-34 years,Vic.,99,3798,72.7,2760,2760
Aston,Male,35-39 years,Vic.,99,3804,73,2776,2776
Aston,Male,40-44 years,Vic.,99,3742,75.3,2818,2818
Aston,Male,45-49 years,Vic.,99,4014,77.6,3114,3114
Aston,Male,50-54 years,Vic.,99,4084,80,3266,3266
Aston,Male,55-59 years,Vic.,99,4272,82.7,3533,3533
Aston,Male,60-64 years,Vic.,99,3714,86.2,3202,3202
Aston,Male,65-69 years,Vic.,99,3200,88.2,2821,2821
Aston,Male,70-74 years,Vic.,99,2347,89,2088,2088
Aston,Male,75-79 years,Vic.,99,1653,89.9,1486,1486
Aston,Male,80-84 years,Vic.,99,992,87.4,867,867
Aston,Male,85 years and over,Vic.,99,821,81.5,669,669
Aston,Male,Total for Gender,Vic.,99,46183,79.2,36561,36561
Ballarat,Female,18-19 years,Vic.,4 652,1565,83.6,1309,1309
Ballarat,Female,20-24 years,Vic.,4 652,4668,76.6,3575,3575
Ballarat,Female,25-29 years,Vic.,4 652,4466,76.9,3436,3436
Ballarat,Female,30-34 years,Vic.,4 652,4412,78.4,3458,3458
Ballarat,Female,35-39 years,Vic.,4 652,4512,79.4,3584,3584
Ballarat,Female,40-44 years,Vic.,4 652,4741,81.5,3866,3866
Ballarat,Female,45-49 years,Vic.,4 652,5247,83.5,4382,4382
Ballarat,Female,50-54 years,Vic.,4 652,4952,85.8,4250,4250
Ballarat,Female,55-59 years,Vic.,4 652,5199,87.4,4546,4546
Ballarat,Female,60-64 years,Vic.,4 652,4823,88.8,4283,4283
Ballarat,Female,65-69 years,Vic.,4 652,4588,90.7,4161,4161
Ballarat,Female,70-74 years,Vic.,4 652,3603,90.4,3258,3258
Ballarat,Female,75-79 years,Vic.,4 652,2405,90.6,2180,2180
Ballarat,Female,80-84 years,Vic.,4 652,1807,87.8,1587,1587
Ballarat,Female,85 years and over,Vic.,4 652,1969,77.2,1521,1521
Ballarat,Female,Total for Gender,Vic.,4 652,58957,83.8,49396,49396
Ballarat,Male,18-19 years,Vic.,4 652,1446,78.8,1139,1139
Ballarat,Male,20-24 years,Vic.,4 652,4720,67.8,3198,3198
Ballarat,Male,25-29 years,Vic.,4 652,4543,69,3133,3133
Ballarat,Male,30-34 years,Vic.,4 652,4270,72.5,3097,3097
Ballarat,Male,35-39 years,Vic.,4 652,4193,72.8,3052,3052
Ballarat,Male,40-44 years,Vic.,4 652,4437,76.3,3387,3387
Ballarat,Male,45-49 years,Vic.,4 652,4808,77.7,3737,3737
Ballarat,Male,50-54 years,Vic.,4 652,4586,80.7,3699,3699
Ballarat,Male,55-59 years,Vic.,4 652,4799,83.7,4016,4016
Ballarat,Male,60-64 years,Vic.,4 652,4473,87.5,3915,3915
Ballarat,Male,65-69 years,Vic.,4 652,4252,89.1,3790,3790
Ballarat,Male,70-74 years,Vic.,4 652,3243,90.1,2921,2921
Ballarat,Male,75-79 years,Vic.,4 652,2164,90.3,1954,1954
Ballarat,Male,80-84 years,Vic.,4 652,1382,89.5,1237,1237
Ballarat,Male,85 years and over,Vic.,4 652,1095,83.3,912,912
Ballarat,Male,Total for Gender,Vic.,4 652,54411,79.4,43187,43187
Banks,Female,18-19 years,NSW,53,1514,82.8,1253,1253
Banks,Female,20-24 years,NSW,53,4095,79.7,3263,3263
Banks,Female,25-29 years,NSW,53,3959,76.2,3015,3015
Banks,Female,30-34 years,NSW,53,4070,74.2,3018,3018
Banks,Female,35-39 years,NSW,53,4362,76.9,3354,3354
Banks,Female,40-44 years,NSW,53,4511,78.8,3554,3554
Banks,Female,45-49 years,NSW,53,4871,79.6,3877,3877
Banks,Female,50-54 years,NSW,53,4787,82.1,3932,3932
Banks,Female,55-59 years,NSW,53,4726,84.4,3988,3988
Banks,Female,60-64 years,NSW,53,4069,86.1,3504,3504
Banks,Female,65-69 years,NSW,53,3520,87.9,3093,3093
Banks,Female,70-74 years,NSW,53,2870,88.5,2540,2540
Banks,Female,75-79 years,NSW,53,2329,89.5,2085,2085
Banks,Female,80-84 years,NSW,53,1943,86.1,1672,1672
Banks,Female,85 years and over,NSW,53,2528,79.8,2018,2018
Banks,Female,Total for Gender,NSW,53,54154,81.6,44166,44166
Banks,Male,18-19 years,NSW,53,1431,77,1102,1102
Banks,Male,20-24 years,NSW,53,4224,73.3,3098,3098
Banks,Male,25-29 years,NSW,53,4036,72.3,2918,2918
Banks,Male,30-34 years,NSW,53,4188,69.1,2895,2895
Banks,Male,35-39 years,NSW,53,4197,71.1,2982,2982
Banks,Male,40-44 years,NSW,53,4239,74.8,3172,3172
Banks,Male,45-49 years,NSW,53,4419,78.7,3477,3477
Banks,Male,50-54 years,NSW,53,4471,78.8,3523,3523
Banks,Male,55-59 years,NSW,53,4621,81.5,3764,3764
Banks,Male,60-64 years,NSW,53,3948,83.5,3297,3297
Banks,Male,65-69 years,NSW,53,3257,87.5,2851,2851
Banks,Male,70-74 years,NSW,53,2631,89.9,2366,2366
Banks,Male,75-79 years,NSW,53,1836,89.1,1636,1636
Banks,Male,80-84 years,NSW,53,1531,88.3,1352,1352
Banks,Male,85 years and over,NSW,53,1499,83.2,1247,1247
Banks,Male,Total for Gender,NSW,53,50528,78.5,39680,39680
Barker,Female,18-19 years,SA,63 886,1166,78.2,912,912
Barker,Female,20-24 years,SA,63 886,3198,68.5,2190,2190
Barker,Female,25-29 years,SA,63 886,3232,66.8,2159,2159
Barker,Female,30-34 years,SA,63 886,3392,67.7,2296,2296
Barker,Female,35-39 years,SA,63 886,3564,68.7,2449,2449
Barker,Female,40-44 years,SA,63 886,3885,71.2,2766,2766
Barker,Female,45-49 years,SA,63 886,4569,76.8,3508,3508
Barker,Female,50-54 years,SA,63 886,4727,80.8,3821,3821
Barker,Female,55-59 years,SA,63 886,5180,83.2,4311,4311
Barker,Female,60-64 years,SA,63 886,4849,87.2,4228,4228
Barker,Female,65-69 years,SA,63 886,4633,88.6,4104,4104
Barker,Female,70-74 years,SA,63 886,3927,90.2,3544,3544
Barker,Female,75-79 years,SA,63 886,2760,90.1,2486,2486
Barker,Female,80-84 years,SA,63 886,2044,86.7,1773,1773
Barker,Female,85 years and over,SA,63 886,2264,78,1765,1765
Barker,Female,Total for Gender,SA,63 886,53390,79.3,42312,42312
Barker,Male,18-19 years,SA,63 886,991,70.6,700,700
Barker,Male,20-24 years,SA,63 886,3296,58.1,1914,1914
Barker,Male,25-29 years,SA,63 886,3342,57.3,1916,1916
Barker,Male,30-34 years,SA,63 886,3333,59.8,1992,1992
Barker,Male,35-39 years,SA,63 886,3448,62.1,2141,2141
Barker,Male,40-44 years,SA,63 886,3712,64.7,2403,2403
Barker,Male,45-49 years,SA,63 886,4571,70.6,3226,3226
Barker,Male,50-54 years,SA,63 886,4683,74.2,3473,3473
Barker,Male,55-59 years,SA,63 886,5103,79.8,4074,4074
Barker,Male,60-64 years,SA,63 886,4971,84.5,4202,4202
Barker,Male,65-69 years,SA,63 886,4827,87.7,4233,4233
Barker,Male,70-74 years,SA,63 886,3889,90,3500,3500
Barker,Male,75-79 years,SA,63 886,2618,89.6,2345,2345
Barker,Male,80-84 years,SA,63 886,1721,88.1,1517,1517
Barker,Male,85 years and over,SA,63 886,1402,83.9,1176,1176
Barker,Male,Total for Gender,SA,63 886,51907,74.8,38812,38812
Barton,Female,18-19 years,NSW,40,1309,81.1,1061,1061
Barton,Female,20-24 years,NSW,40,4101,78.2,3205,3205
Barton,Female,25-29 years,NSW,40,4516,75.4,3407,3407
Barton,Female,30-34 years,NSW,40,5273,73.1,3853,3853
Barton,Female,35-39 years,NSW,40,4909,74,3631,3631
Barton,Female,40-44 years,NSW,40,4895,78.6,3847,3847
Barton,Female,45-49 years,NSW,40,5064,81.1,4105,4105
Barton,Female,50-54 years,NSW,40,4761,80.3,3821,3821
Barton,Female,55-59 years,NSW,40,4314,79.9,3449,3449
Barton,Female,60-64 years,NSW,40,3848,83.6,3217,3217
Barton,Female,65-69 years,NSW,40,3401,86.2,2930,2930
Barton,Female,70-74 years,NSW,40,2786,86.8,2418,2418
Barton,Female,75-79 years,NSW,40,2339,84.6,1979,1979
Barton,Female,80-84 years,NSW,40,1832,83.2,1525,1525
Barton,Female,85 years and over,NSW,40,1942,73.7,1431,1431
Barton,Female,Total for Gender,NSW,40,55290,79.4,43879,43879
Barton,Male,18-19 years,NSW,40,1278,76.4,977,977
Barton,Male,20-24 years,NSW,40,4186,72.8,3047,3047
Barton,Male,25-29 years,NSW,40,4594,70.3,3231,3231
Barton,Male,30-34 years,NSW,40,5305,69.3,3678,3678
Barton,Male,35-39 years,NSW,40,5176,70.8,3667,3667
Barton,Male,40-44 years,NSW,40,4935,74.4,3673,3673
Barton,Male,45-49 years,NSW,40,4852,77.2,3744,3744
Barton,Male,50-54 years,NSW,40,4562,79.1,3610,3610
Barton,Male,55-59 years,NSW,40,4162,79.1,3291,3291
Barton,Male,60-64 years,NSW,40,3670,80.3,2948,2948
Barton,Male,65-69 years,NSW,40,3245,83.8,2720,2720
Barton,Male,70-74 years,NSW,40,2685,85.4,2293,2293
Barton,Male,75-79 years,NSW,40,1999,88.8,1775,1775
Barton,Male,80-84 years,NSW,40,1599,82.7,1323,1323
Barton,Male,85 years and over,NSW,40,1368,81.2,1111,1111
Barton,Male,Total for Gender,NSW,40,53616,76.6,41088,41088
Bass,Female,18-19 years,Tas.,7 975,946,80.3,760,760
Bass,Female,20-24 years,Tas.,7 975,2974,72.5,2156,2156
Bass,Female,25-29 years,Tas.,7 975,2749,71.6,1968,1968
Bass,Female,30-34 years,Tas.,7 975,2699,73.6,1986,1986
Bass,Female,35-39 years,Tas.,7 975,2715,76.2,2070,2070
Bass,Female,40-44 years,Tas.,7 975,2870,75.7,2172,2172
Bass,Female,45-49 years,Tas.,7 975,3335,79.7,2659,2659
Bass,Female,50-54 years,Tas.,7 975,3275,81.9,2681,2681
Bass,Female,55-59 years,Tas.,7 975,3459,85.7,2963,2963
Bass,Female,60-64 years,Tas.,7 975,3222,88.3,2844,2844
Bass,Female,65-69 years,Tas.,7 975,2974,90.9,2702,2702
Bass,Female,70-74 years,Tas.,7 975,2521,89.8,2265,2265
Bass,Female,75-79 years,Tas.,7 975,1856,90,1671,1671
Bass,Female,80-84 years,Tas.,7 975,1350,87.9,1187,1187
Bass,Female,85 years and over,Tas.,7 975,1466,80.2,1176,1176
Bass,Female,Total for Gender,Tas.,7 975,38411,81.4,31260,31260
Bass,Male,18-19 years,Tas.,7 975,1008,72.1,727,727
Bass,Male,20-24 years,Tas.,7 975,3144,64.5,2028,2028
Bass,Male,25-29 years,Tas.,7 975,2745,63.8,1750,1750
Bass,Male,30-34 years,Tas.,7 975,2592,67.2,1742,1742
Bass,Male,35-39 years,Tas.,7 975,2553,68.7,1755,1755
Bass,Male,40-44 years,Tas.,7 975,2639,69.9,1845,1845
Bass,Male,45-49 years,Tas.,7 975,3089,73.9,2284,2284
Bass,Male,50-54 years,Tas.,7 975,3042,77.2,2347,2347
Bass,Male,55-59 years,Tas.,7 975,3281,82.6,2710,2710
Bass,Male,60-64 years,Tas.,7 975,2948,86.2,2542,2542
Bass,Male,65-69 years,Tas.,7 975,2765,88,2432,2432
Bass,Male,70-74 years,Tas.,7 975,2360,89.7,2117,2117
Bass,Male,75-79 years,Tas.,7 975,1550,90.6,1405,1405
Bass,Male,80-84 years,Tas.,7 975,993,88.6,880,880
Bass,Male,85 years and over,Tas.,7 975,853,86,734,734
Bass,Male,Total for Gender,Tas.,7 975,35562,76.8,27298,27298
Batman,Female,18-19 years,Vic.,66,1131,86.4,977,977
Batman,Female,20-24 years,Vic.,66,4532,85.5,3876,3876
Batman,Female,25-29 years,Vic.,66,5813,85.8,4988,4988
Batman,Female,30-34 years,Vic.,66,6010,86,5169,5169
Batman,Female,35-39 years,Vic.,66,5782,86,4972,4972
Batman,Female,40-44 years,Vic.,66,5360,86.1,4613,4613
Batman,Female,45-49 years,Vic.,66,5519,86,4749,4749
Batman,Female,50-54 years,Vic.,66,4614,86.4,3987,3987
Batman,Female,55-59 years,Vic.,66,4115,88.1,3627,3627
Batman,Female,60-64 years,Vic.,66,3510,88.7,3114,3114
Batman,Female,65-69 years,Vic.,66,2964,88.9,2634,2634
Batman,Female,70-74 years,Vic.,66,2571,87.5,2249,2249
Batman,Female,75-79 years,Vic.,66,2133,85.5,1823,1823
Batman,Female,80-84 years,Vic.,66,1851,82.4,1525,1525
Batman,Female,85 years and over,Vic.,66,2055,74.4,1528,1528
Batman,Female,Total for Gender,Vic.,66,57960,86,49831,49831
Batman,Male,18-19 years,Vic.,66,987,80.7,797,797
Batman,Male,20-24 years,Vic.,66,3982,78.5,3125,3125
Batman,Male,25-29 years,Vic.,66,5268,79.1,4167,4167
Batman,Male,30-34 years,Vic.,66,5783,79.7,4608,4608
Batman,Male,35-39 years,Vic.,66,5323,81.1,4319,4319
Batman,Male,40-44 years,Vic.,66,5154,80.6,4153,4153
Batman,Male,45-49 years,Vic.,66,5281,80.8,4265,4265
Batman,Male,50-54 years,Vic.,66,4238,81.6,3457,3457
Batman,Male,55-59 years,Vic.,66,3878,84.3,3269,3269
Batman,Male,60-64 years,Vic.,66,3242,84.8,2748,2748
Batman,Male,65-69 years,Vic.,66,2601,86.2,2243,2243
Batman,Male,70-74 years,Vic.,66,2177,86.7,1888,1888
Batman,Male,75-79 years,Vic.,66,1790,86.5,1548,1548
Batman,Male,80-84 years,Vic.,66,1492,83,1238,1238
Batman,Male,85 years and over,Vic.,66,1343,78.3,1052,1052
Batman,Male,Total for Gender,Vic.,66,52539,81.6,42877,42877
Bendigo,Female,18-19 years,Vic.,6 255,1505,83.5,1256,1256
Bendigo,Female,20-24 years,Vic.,6 255,4368,77.2,3370,3370
Bendigo,Female,25-29 years,Vic.,6 255,4188,78.1,3271,3271
Bendigo,Female,30-34 years,Vic.,6 255,4164,79.4,3306,3306
Bendigo,Female,35-39 years,Vic.,6 255,4118,81.1,3339,3339
Bendigo,Female,40-44 years,Vic.,6 255,4542,81.7,3710,3710
Bendigo,Female,45-49 years,Vic.,6 255,4835,85.2,4119,4119
Bendigo,Female,50-54 years,Vic.,6 255,4817,85.9,4139,4139
Bendigo,Female,55-59 years,Vic.,6 255,5206,88.1,4587,4587
Bendigo,Female,60-64 years,Vic.,6 255,4992,89.7,4480,4480
Bendigo,Female,65-69 years,Vic.,6 255,4663,91.7,4278,4278
Bendigo,Female,70-74 years,Vic.,6 255,3674,91.8,3371,3371
Bendigo,Female,75-79 years,Vic.,6 255,2646,91.2,2414,2414
Bendigo,Female,80-84 years,Vic.,6 255,1870,88,1645,1645
Bendigo,Female,85 years and over,Vic.,6 255,2051,78.3,1606,1606
Bendigo,Female,Total for Gender,Vic.,6 255,57639,84.8,48891,48891
Bendigo,Male,18-19 years,Vic.,6 255,1367,78.4,1072,1072
Bendigo,Male,20-24 years,Vic.,6 255,4278,68.9,2946,2946
Bendigo,Male,25-29 years,Vic.,6 255,4099,68.4,2803,2803
Bendigo,Male,30-34 years,Vic.,6 255,3929,72,2827,2827
Bendigo,Male,35-39 years,Vic.,6 255,3851,73.6,2833,2833
Bendigo,Male,40-44 years,Vic.,6 255,4129,75.8,3131,3131
Bendigo,Male,45-49 years,Vic.,6 255,4534,78.9,3577,3577
Bendigo,Male,50-54 years,Vic.,6 255,4454,82.2,3661,3661
Bendigo,Male,55-59 years,Vic.,6 255,4808,85.1,4091,4091
Bendigo,Male,60-64 years,Vic.,6 255,4598,87.4,4018,4018
Bendigo,Male,65-69 years,Vic.,6 255,4421,90,3979,3979
Bendigo,Male,70-74 years,Vic.,6 255,3546,90.7,3216,3216
Bendigo,Male,75-79 years,Vic.,6 255,2407,90.9,2188,2188
Bendigo,Male,80-84 years,Vic.,6 255,1576,90.4,1425,1425
Bendigo,Male,85 years and over,Vic.,6 255,1312,84.1,1103,1103
Bendigo,Male,Total for Gender,Vic.,6 255,53309,80.4,42870,42870
Bennelong,Female,18-19 years,NSW,60,1398,84.3,1178,1178
Bennelong,Female,20-24 years,NSW,60,4264,81.8,3486,3486
Bennelong,Female,25-29 years,NSW,60,3966,78.7,3120,3120
Bennelong,Female,30-34 years,NSW,60,4420,75.5,3338,3338
Bennelong,Female,35-39 years,NSW,60,4724,76,3592,3592
Bennelong,Female,40-44 years,NSW,60,4584,79,3621,3621
Bennelong,Female,45-49 years,NSW,60,4968,83,4124,4124
Bennelong,Female,50-54 years,NSW,60,4883,83.9,4096,4096
Bennelong,Female,55-59 years,NSW,60,4594,85.5,3930,3930
Bennelong,Female,60-64 years,NSW,60,4110,87.7,3603,3603
Bennelong,Female,65-69 years,NSW,60,3352,89.6,3005,3005
Bennelong,Female,70-74 years,NSW,60,2606,90.2,2351,2351
Bennelong,Female,75-79 years,NSW,60,2145,89.6,1922,1922
Bennelong,Female,80-84 years,NSW,60,1817,87.2,1585,1585
Bennelong,Female,85 years and over,NSW,60,2435,81.8,1992,1992
Bennelong,Female,Total for Gender,NSW,60,54266,82.8,44943,44943
Bennelong,Male,18-19 years,NSW,60,1488,79.1,1177,1177
Bennelong,Male,20-24 years,NSW,60,4492,74.7,3356,3356
Bennelong,Male,25-29 years,NSW,60,4316,72,3106,3106
Bennelong,Male,30-34 years,NSW,60,4580,70.9,3245,3245
Bennelong,Male,35-39 years,NSW,60,4792,71,3404,3404
Bennelong,Male,40-44 years,NSW,60,4463,76.3,3405,3405
Bennelong,Male,45-49 years,NSW,60,4456,80,3563,3563
Bennelong,Male,50-54 years,NSW,60,4586,81.6,3742,3742
Bennelong,Male,55-59 years,NSW,60,4367,83.7,3657,3657
Bennelong,Male,60-64 years,NSW,60,3830,86.2,3301,3301
Bennelong,Male,65-69 years,NSW,60,3239,88.4,2863,2863
Bennelong,Male,70-74 years,NSW,60,2351,90.3,2124,2124
Bennelong,Male,75-79 years,NSW,60,1785,90.8,1620,1620
Bennelong,Male,80-84 years,NSW,60,1371,89.1,1221,1221
Bennelong,Male,85 years and over,NSW,60,1422,84,1195,1195
Bennelong,Male,Total for Gender,NSW,60,51538,79.5,40979,40979
Berowra,Female,18-19 years,NSW,786,1823,85.7,1562,1562
Berowra,Female,20-24 years,NSW,786,4450,85.4,3799,3799
Berowra,Female,25-29 years,NSW,786,3182,82.2,2616,2616
Berowra,Female,30-34 years,NSW,786,2977,80.7,2401,2401
Berowra,Female,35-39 years,NSW,786,3809,81,3084,3084
Berowra,Female,40-44 years,NSW,786,4738,82.1,3889,3889
Berowra,Female,45-49 years,NSW,786,5430,84,4562,4562
Berowra,Female,50-54 years,NSW,786,5183,86.4,4479,4479
Berowra,Female,55-59 years,NSW,786,5122,88.9,4552,4552
Berowra,Female,60-64 years,NSW,786,4300,89.8,3863,3863
Berowra,Female,65-69 years,NSW,786,3709,91.7,3401,3401
Berowra,Female,70-74 years,NSW,786,3182,93.1,2961,2961
Berowra,Female,75-79 years,NSW,786,2221,92.3,2050,2050
Berowra,Female,80-84 years,NSW,786,1479,89.9,1330,1330
Berowra,Female,85 years and over,NSW,786,1943,82.8,1609,1609
Berowra,Female,Total for Gender,NSW,786,53548,86.2,46158,46158
Berowra,Male,18-19 years,NSW,786,1916,79.5,1523,1523
Berowra,Male,20-24 years,NSW,786,4808,78.3,3767,3767
Berowra,Male,25-29 years,NSW,786,3541,75.9,2687,2687
Berowra,Male,30-34 years,NSW,786,2934,76.4,2241,2241
Berowra,Male,35-39 years,NSW,786,3397,76.4,2594,2594
Berowra,Male,40-44 years,NSW,786,4405,78.1,3439,3439
Berowra,Male,45-49 years,NSW,786,4760,80.9,3852,3852
Berowra,Male,50-54 years,NSW,786,4832,84.3,4073,4073
Berowra,Male,55-59 years,NSW,786,4891,86.1,4209,4209
Berowra,Male,60-64 years,NSW,786,4221,88.5,3736,3736
Berowra,Male,65-69 years,NSW,786,3569,90.6,3235,3235
Berowra,Male,70-74 years,NSW,786,3033,92.3,2799,2799
Berowra,Male,75-79 years,NSW,786,1999,92.1,1841,1841
Berowra,Male,80-84 years,NSW,786,1308,92.7,1212,1212
Berowra,Male,85 years and over,NSW,786,1225,88.6,1085,1085
Berowra,Male,Total for Gender,NSW,786,50839,83.2,42293,42293
Blair,Female,18-19 years,Qld,6 409,1486,75.5,1122,1122
Blair,Female,20-24 years,Qld,6 409,4852,67.5,3275,3275
Blair,Female,25-29 years,Qld,6 409,4965,70.2,3487,3487
Blair,Female,30-34 years,Qld,6 409,5007,74.5,3732,3732
Blair,Female,35-39 years,Qld,6 409,4374,74.8,3272,3272
Blair,Female,40-44 years,Qld,6 409,4308,75.2,3238,3238
Blair,Female,45-49 years,Qld,6 409,4538,78.9,3581,3581
Blair,Female,50-54 years,Qld,6 409,4311,82.5,3557,3557
Blair,Female,55-59 years,Qld,6 409,4410,84.6,3733,3733
Blair,Female,60-64 years,Qld,6 409,3698,86.6,3202,3202
Blair,Female,65-69 years,Qld,6 409,3302,87.5,2888,2888
Blair,Female,70-74 years,Qld,6 409,2673,90.2,2410,2410
Blair,Female,75-79 years,Qld,6 409,1891,87.2,1649,1649
Blair,Female,80-84 years,Qld,6 409,1228,87.4,1073,1073
Blair,Female,85 years and over,Qld,6 409,1202,80.5,968,968
Blair,Female,Total for Gender,Qld,6 409,52245,78.8,41187,41187
Blair,Male,18-19 years,Qld,6 409,1357,69.2,939,939
Blair,Male,20-24 years,Qld,6 409,4491,62.2,2792,2792
Blair,Male,25-29 years,Qld,6 409,4666,63.6,2968,2968
Blair,Male,30-34 years,Qld,6 409,4727,65.5,3098,3098
Blair,Male,35-39 years,Qld,6 409,4323,67.1,2900,2900
Blair,Male,40-44 years,Qld,6 409,4296,68.9,2959,2959
Blair,Male,45-49 years,Qld,6 409,4373,74.5,3260,3260
Blair,Male,50-54 years,Qld,6 409,4208,78.2,3290,3290
Blair,Male,55-59 years,Qld,6 409,4141,81.5,3374,3374
Blair,Male,60-64 years,Qld,6 409,3648,85.9,3133,3133
Blair,Male,65-69 years,Qld,6 409,3346,87.9,2940,2940
Blair,Male,70-74 years,Qld,6 409,2519,88.9,2240,2240
Blair,Male,75-79 years,Qld,6 409,1731,88.7,1535,1535
Blair,Male,80-84 years,Qld,6 409,1029,86.4,889,889
Blair,Male,85 years and over,Qld,6 409,781,83,648,648
Blair,Male,Total for Gender,Qld,6 409,49636,74.5,36965,36965
Blaxland,Female,18-19 years,NSW,61,1595,76.2,1216,1216
Blaxland,Female,20-24 years,NSW,61,4854,74.8,3631,3631
Blaxland,Female,25-29 years,NSW,61,4813,70.9,3412,3412
Blaxland,Female,30-34 years,NSW,61,4843,70.2,3401,3401
Blaxland,Female,35-39 years,NSW,61,4501,70.7,3184,3184
Blaxland,Female,40-44 years,NSW,61,4341,73.6,3197,3197
Blaxland,Female,45-49 years,NSW,61,4502,75.4,3395,3395
Blaxland,Female,50-54 years,NSW,61,4279,77.4,3314,3314
Blaxland,Female,55-59 years,NSW,61,4340,79.8,3462,3462
Blaxland,Female,60-64 years,NSW,61,3782,81.4,3079,3079
Blaxland,Female,65-69 years,NSW,61,3082,84.1,2593,2593
Blaxland,Female,70-74 years,NSW,61,2375,85,2018,2018
Blaxland,Female,75-79 years,NSW,61,1823,83.8,1527,1527
Blaxland,Female,80-84 years,NSW,61,1451,81.9,1189,1189
Blaxland,Female,85 years and over,NSW,61,1823,75.8,1382,1382
Blaxland,Female,Total for Gender,NSW,61,52404,76.3,4e4,40000
Blaxland,Male,18-19 years,NSW,61,1555,74.1,1152,1152
Blaxland,Male,20-24 years,NSW,61,4968,71.1,3530,3530
Blaxland,Male,25-29 years,NSW,61,4653,68.9,3204,3204
Blaxland,Male,30-34 years,NSW,61,4764,67.5,3216,3216
Blaxland,Male,35-39 years,NSW,61,4648,68,3161,3161
Blaxland,Male,40-44 years,NSW,61,4424,70.3,3108,3108
Blaxland,Male,45-49 years,NSW,61,4398,72.7,3196,3196
Blaxland,Male,50-54 years,NSW,61,4443,74.9,3328,3328
Blaxland,Male,55-59 years,NSW,61,4451,76.1,3388,3388
Blaxland,Male,60-64 years,NSW,61,3772,78.6,2965,2965
Blaxland,Male,65-69 years,NSW,61,3119,84.1,2622,2622
Blaxland,Male,70-74 years,NSW,61,2585,84.4,2182,2182
Blaxland,Male,75-79 years,NSW,61,1692,84.4,1428,1428
Blaxland,Male,80-84 years,NSW,61,1132,83.9,950,950
Blaxland,Male,85 years and over,NSW,61,1142,78,891,891
